Time	1FF	1Ia	1Vm	2FF	2Vm	AVm	BIa	BVm	
0	0	0	-0.07	0	-0.07	-0.1	0	-0.1	
0.0002	0	0	-0.07	0	-0.07	-0.09999843	0	-0.1	
0.0004	0	0	-0.07	0	-0.07	-0.09999536	0	-0.1	
0.0006	0	0	-0.07	0	-0.07	-0.09999083	0	-0.1	
0.0008	0	0	-0.07	0	-0.07	-0.09998492	0	-0.1	
0.0009999999	0	0	-0.07	0	-0.07	-0.09997766	0	-0.1	
0.0012	0	0	-0.07	0	-0.07	-0.09996913	0	-0.1	
0.0014	0	0	-0.07	0	-0.07	-0.09995937	0	-0.1	
0.0016	0	0	-0.07	0	-0.07	-0.09994841	0	-0.1	
0.0018	0	-5E-09	-0.07	3.6E-05	-0.0699928	-0.09993631	0	-0.1	
0.002	0	-5E-09	-0.07	3.6E-05	-0.0699928	-0.09992313	0	-0.1	
0.0022	0	-5E-09	-0.07	3.6E-05	-0.0699928	-0.09990889	0	-0.1	
0.0024	0	-5E-09	-0.07	3.6E-05	-0.0699928	-0.09989364	0	-0.1	
0.0026	0	-5E-09	-0.07	3.6E-05	-0.0699928	-0.09987742	0	-0.1	
0.0028	0	-5E-09	-0.07	3.6E-05	-0.0699928	-0.09986027	0	-0.1	
0.003	0	-5E-09	-0.07	3.6E-05	-0.0699928	-0.09984223	0	-0.1	
0.0032	0	-5E-09	-0.07	3.6E-05	-0.0699928	-0.09982332	0	-0.1	
0.0034	0	-5E-09	-0.07	3.6E-05	-0.0699928	-0.09980358	0	-0.1	
0.0036	0	-5E-09	-0.07	3.6E-05	-0.0699928	-0.09978305	0	-0.1	
0.0038	0	-5E-09	-0.071	0.00011128	-0.06997775	-0.09976175	0	-0.1	
0.004	0	-5E-09	-0.071	0.00011128	-0.06997775	-0.09973973	0	-0.1	
0.0042	0	-5E-09	-0.071	0.00011128	-0.06997775	-0.099717	0	-0.1	
0.0044	0	-5E-09	-0.071	0.00011128	-0.06997775	-0.09969359	0	-0.1	
0.0046	0	-5E-09	-0.071	0.00011128	-0.06997775	-0.09966953	0	-0.1	
0.0048	0	-5E-09	-0.071	0.00011128	-0.06997775	-0.09964485	0	-0.1	
0.005	0	-5E-09	-0.071	0.00011128	-0.06997775	-0.09961956	0	-0.1	
0.0052	0	-5E-09	-0.071	0.00011128	-0.06997775	-0.0995937	0	-0.1	
0.0054	0	-5E-09	-0.071	0.00011128	-0.06997775	-0.09956729	0	-0.1	
0.0056	0	-5E-09	-0.071	0.00011128	-0.06997775	-0.09954034	0	-0.1	
0.0058	0	-5E-09	-0.07198	0.0002250544	-0.06995499	-0.09951288	0	-0.1	
0.006	0	-5E-09	-0.07198	0.0002250544	-0.06995499	-0.09948492	0	-0.1	
0.0062	0	-5E-09	-0.07198	0.0002250544	-0.06995499	-0.0994565	0	-0.1	
0.0064	0	-5E-09	-0.07198	0.0002250544	-0.06995499	-0.09942762	0	-0.1	
0.0066	0	-5E-09	-0.07198	0.0002250544	-0.06995499	-0.09939831	0	-0.1	
0.0068	0	-5E-09	-0.07198	0.0002250544	-0.06995499	-0.09936857	0	-0.1	
0.007	0	-5E-09	-0.07198	0.0002250544	-0.06995499	-0.09933843	0	-0.1	
0.0072	0	-5E-09	-0.07198	0.0002250544	-0.06995499	-0.09930791	0	-0.1	
0.0074	0	-5E-09	-0.07198	0.0002250544	-0.06995499	-0.09927702	0	-0.1	
0.0076	0	-5E-09	-0.07198	0.0002250544	-0.06995499	-0.09924576	0	-0.1	
0.0078	0	-5E-09	-0.0729404	0.0003765533	-0.06992469	-0.09921417	0	-0.1	
0.007999999	0	-5E-09	-0.0729404	0.0003765533	-0.06992469	-0.09918225	0	-0.1	
0.0082	0	-5E-09	-0.0729404	0.0003765533	-0.06992469	-0.09915001	0	-0.1	
0.0084	0	-5E-09	-0.0729404	0.0003765533	-0.06992469	-0.09911747	0	-0.1	
0.008599999	0	-5E-09	-0.0729404	0.0003765533	-0.06992469	-0.09908462	0	-0.1	
0.0088	0	-5E-09	-0.0729404	0.0003765533	-0.06992469	-0.09905151	0	-0.1	
0.009	0	-5E-09	-0.0729404	0.0003765533	-0.06992469	-0.09901812	0	-0.1	
0.0092	0	-5E-09	-0.0729404	0.0003765533	-0.06992469	-0.09898447	0	-0.1	
0.0094	0	-5E-09	-0.0729404	0.0003765533	-0.06992469	-0.09895057	0	-0.1	
0.0096	0	-5E-09	-0.0729404	0.0003765533	-0.06992469	-0.09891644	0	-0.1	
0.0098	0	-5E-09	-0.07388159	0.0005650222	-0.069887	-0.09888207	0	-0.1	
0.01	0	-5E-09	-0.07388159	0.0005650222	-0.069887	-0.09884749	0	-0.1	
0.0102	0	-5E-09	-0.07388159	0.0005650222	-0.069887	-0.09881268	0	-0.1	
0.0104	0	-5E-09	-0.07388159	0.0005650222	-0.069887	-0.09877768	0	-0.1	
0.0106	0	-5E-09	-0.07388159	0.0005650222	-0.069887	-0.09874249	0	-0.1	
0.0108	0	-5E-09	-0.07388159	0.0005650222	-0.069887	-0.0987071	0	-0.1	
0.011	0	-5E-09	-0.07388159	0.0005650222	-0.069887	-0.09867153	0	-0.1	
0.0112	0	-5E-09	-0.07388159	0.0005650222	-0.069887	-0.09863579	0	-0.1	
0.0114	0	-5E-09	-0.07388159	0.0005650222	-0.069887	-0.09859988	0	-0.1	
0.0116	0	-5E-09	-0.07388159	0.0005650222	-0.069887	-0.09856381	0	-0.1	
0.0118	0	-5E-09	-0.07480396	0.0007897217	-0.06984206	-0.09852759	0	-0.1	
0.012	0	-5E-09	-0.07480396	0.0007897217	-0.06984206	-0.09849121	0	-0.1	
0.0122	0	-5E-09	-0.07480396	0.0007897217	-0.06984206	-0.09845471	0	-0.1	
0.0124	0	-5E-09	-0.07480396	0.0007897217	-0.06984206	-0.09841806	0	-0.1	
0.0126	0	-5E-09	-0.07480396	0.0007897217	-0.06984206	-0.09838127	0	-0.1	
0.0128	0	-5E-09	-0.07480396	0.0007897217	-0.06984206	-0.09834436	0	-0.1	
0.013	0	-5E-09	-0.07480396	0.0007897217	-0.06984206	-0.09830733	0	-0.1	
0.0132	0	-5E-09	-0.07480396	0.0007897217	-0.06984206	-0.09827019	0	-0.1	
0.0134	0	-5E-09	-0.07480396	0.0007897217	-0.06984206	-0.09823293	0	-0.1	
0.0136	0	-5E-09	-0.07480396	0.0007897217	-0.06984206	-0.09819557	0	-0.1	
0.0138	0	-5E-09	-0.07570788	0.001049927	-0.06979001	-0.0981581	0	-0.1	
0.014	0	-5E-09	-0.07570788	0.001049927	-0.06979001	-0.09812053	0	-0.1	
0.0142	0	-5E-09	-0.07570788	0.001049927	-0.06979001	-0.09808287	0	-0.1	
0.0144	0	-5E-09	-0.07570788	0.001049927	-0.06979001	-0.09804511	0	-0.1	
0.0146	0	-5E-09	-0.07570788	0.001049927	-0.06979001	-0.09800727	0	-0.1	
0.0148	0	-5E-09	-0.07570788	0.001049927	-0.06979001	-0.09796935	0	-0.1	
0.015	0	-5E-09	-0.07570788	0.001049927	-0.06979001	-0.09793133	0	-0.1	
0.0152	0	-5E-09	-0.07570788	0.001049927	-0.06979001	-0.09789325	0	-0.1	
0.0154	0	-5E-09	-0.07570788	0.001049927	-0.06979001	-0.09785508	0	-0.1	
0.0156	0	-5E-09	-0.07570788	0.001049927	-0.06979001	-0.09781685	0	-0.1	
0.0158	0	-5E-09	-0.07659373	0.001344929	-0.06973101	-0.09777855	0	-0.1	
0.016	0	-5E-09	-0.07659373	0.001344929	-0.06973101	-0.09774018	0	-0.1	
0.0162	0	-5E-09	-0.07659373	0.001344929	-0.06973101	-0.09770175	0	-0.1	
0.0164	0	-5E-09	-0.07659373	0.001344929	-0.06973101	-0.09766325	0	-0.1	
0.0166	0	-5E-09	-0.07659373	0.001344929	-0.06973101	-0.0976247	0	-0.1	
0.0168	0	-5E-09	-0.07659373	0.001344929	-0.06973101	-0.09758609	0	-0.1	
0.017	0	-5E-09	-0.07659373	0.001344929	-0.06973101	-0.09754742	0	-0.1	
0.0172	0	-5E-09	-0.07659373	0.001344929	-0.06973101	-0.09750871	0	-0.1	
0.0174	0	-5E-09	-0.07659373	0.001344929	-0.06973101	-0.09746994	0	-0.1	
0.0176	0	-5E-09	-0.07659373	0.001344929	-0.06973101	-0.09743112	0	-0.1	
