Time	A1	A1Ia	A2	A2Ia	A3	A3Ia	A4	A4Ia	A5	A5Ia	A6	A6Ia	
0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	
0.002	-0.07	8.395426E-26	-0.07	6.08359E-27	-0.07	3.28247E-28	-0.07	3.5145E-27	-0.07	4.846958E-26	-0.07	3.160636E-25	
0.004	-0.07	9.755263E-26	-0.07	7.070485E-27	-0.07	4.751352E-28	-0.07	6.822681E-27	-0.07	9.412992E-26	-0.07	6.138086E-25	
0.006	-0.07	1.006961E-25	-0.07	7.298116E-27	-0.07	4.777386E-28	-0.07	6.671176E-27	-0.07	9.203672E-26	-0.07	6.001593E-25	
0.008	-0.07	9.849699E-26	-0.07	7.138926E-27	-0.07	4.794139E-28	-0.07	6.879352E-27	-0.07	9.491171E-26	-0.07	6.189066E-25	
0.01	-0.07	9.706802E-26	-0.07	7.035474E-27	-0.07	4.797851E-28	-0.07	6.993656E-27	-0.07	9.649042E-26	-0.07	6.292011E-25	
0.012	-0.07	9.823597E-26	-0.07	7.120054E-27	-0.07	4.810227E-28	-0.07	6.945265E-27	-0.07	9.582178E-26	-0.07	6.248409E-25	
0.014	-0.07	9.819087E-26	-0.07	7.116793E-27	-0.07	4.813046E-28	-0.07	6.956767E-27	-0.07	9.598056E-26	-0.07	6.258764E-25	
0.016	-0.07	9.853857E-26	-0.07	7.141959E-27	-0.07	4.808376E-28	-0.07	6.917947E-27	-0.07	9.544448E-26	-0.07	6.223807E-25	
0.018	-0.07	9.823784E-26	-0.07	7.120204E-27	-0.07	4.818987E-28	-0.07	6.97073E-27	-0.07	9.617329E-26	-0.07	6.271332E-25	
0.02	-0.07	9.843327E-26	-0.07	7.13435E-27	-0.07	4.817798E-28	-0.07	6.953107E-27	-0.07	9.592991E-26	-0.07	6.255461E-25	
0.022	-0.07	9.78226E-26	-0.07	7.090136E-27	-0.07	4.816232E-28	-0.07	6.99274E-27	-0.07	9.647737E-26	-0.07	6.29116E-25	
0.024	-0.07	9.678046E-26	-0.07	7.014688E-27	-0.07	4.818129E-28	-0.07	7.073736E-27	-0.07	9.759605E-26	-0.07	6.364108E-25	
0.026	-0.07	9.717945E-26	-0.07	7.043577E-27	-0.07	4.819519E-28	-0.07	7.048911E-27	-0.07	9.725314E-26	-0.07	6.341747E-25	
