Time	A1	A1Ia	A2	A2Ia	A3	A3Ia	A4	A4Ia	A5	A5Ia	A6	A6Ia	
0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	
0.002	-0.07	3.550091E-26	-0.07	2.571688E-27	-0.07	8.79983E-29	-0.07	1.422355E-30	-0.07	1.085985E-32	-0.07	3.91666E-35	
0.004	-0.07	4.753908E-26	-0.07	3.445622E-27	-0.07	2.348451E-28	-0.07	3.421353E-27	-0.07	4.720386E-26	-0.07	3.078101E-25	
0.006	-0.07	4.830143E-26	-0.07	3.500853E-27	-0.07	2.371242E-28	-0.07	3.432763E-27	-0.07	4.736096E-26	-0.07	3.088345E-25	
0.008	-0.07	4.843311E-26	-0.07	3.51041E-27	-0.07	2.385297E-28	-0.07	3.464305E-27	-0.07	4.77963E-26	-0.07	3.116733E-25	
0.01	-0.07	4.849278E-26	-0.07	3.514745E-27	-0.07	2.394206E-28	-0.07	3.486021E-27	-0.07	4.809605E-26	-0.07	3.136279E-25	
0.012	-0.07	4.853156E-26	-0.07	3.517562E-27	-0.07	2.399918E-28	-0.07	3.499906E-27	-0.07	4.828771E-26	-0.07	3.148777E-25	
0.014	-0.07	4.855934E-26	-0.07	3.519578E-27	-0.07	2.403595E-28	-0.07	3.508642E-27	-0.07	4.840828E-26	-0.07	3.156639E-25	
0.016	-0.07	4.861363E-26	-0.07	3.523513E-27	-0.07	2.405952E-28	-0.07	3.511597E-27	-0.07	4.844905E-26	-0.07	3.159298E-25	
0.018	-0.07	4.861629E-26	-0.07	3.523708E-27	-0.07	2.407516E-28	-0.07	3.515976E-27	-0.07	4.850949E-26	-0.07	3.163239E-25	
0.02	-0.07	4.848242E-26	-0.07	3.514014E-27	-0.07	2.406057E-28	-0.07	3.521404E-27	-0.07	4.858449E-26	-0.07	3.16813E-25	
0.022	-0.07	4.863869E-26	-0.07	3.525333E-27	-0.07	2.409771E-28	-0.07	3.520944E-27	-0.07	4.857806E-26	-0.07	3.167711E-25	
0.024	-0.07	4.862696E-26	-0.07	3.524484E-27	-0.07	2.409537E-28	-0.07	3.521111E-27	-0.07	4.858038E-26	-0.07	3.167862E-25	
0.026	-0.07	4.862829E-26	-0.07	3.52458E-27	-0.07	2.409798E-28	-0.07	3.521779E-27	-0.07	4.858959E-26	-0.07	3.168462E-25	
0.028	-0.07	4.874792E-26	-0.07	3.533242E-27	-0.07	2.409994E-28	-0.07	3.513688E-27	-0.07	4.847784E-26	-0.07	3.161175E-25	
0.03	-0.07	4.861271E-26	-0.07	3.523452E-27	-0.07	2.409766E-28	-0.07	3.522811E-27	-0.07	4.860385E-26	-0.07	3.169392E-25	
0.032	-0.07	4.861059E-26	-0.07	3.523299E-27	-0.07	2.40986E-28	-0.07	3.523239E-27	-0.07	4.860977E-26	-0.07	3.169778E-25	
0.034	-0.07	4.861667E-26	-0.07	3.523739E-27	-0.07	2.409824E-28	-0.07	3.522694E-27	-0.07	4.860223E-26	-0.07	3.169287E-25	
0.036	-0.07	4.86179E-26	-0.07	3.523829E-27	-0.07	2.409952E-28	-0.07	3.52298E-27	-0.07	4.860617E-26	-0.07	3.169544E-25	
0.038	-0.07	4.861779E-26	-0.07	3.52382E-27	-0.07	2.410012E-28	-0.07	3.523163E-27	-0.07	4.86087E-26	-0.07	3.169709E-25	
0.04	-0.07	4.861721E-26	-0.07	3.523779E-27	-0.07	2.410027E-28	-0.07	3.523248E-27	-0.07	4.860989E-26	-0.07	3.169786E-25	
0.042	-0.07	4.862113E-26	-0.07	3.524062E-27	-0.07	2.410098E-28	-0.07	3.523171E-27	-0.07	4.860882E-26	-0.07	3.169717E-25	
0.044	-0.07	4.8625E-26	-0.07	3.524343E-27	-0.07	2.41017E-28	-0.07	3.523101E-27	-0.07	4.860785E-26	-0.07	3.169653E-25	
0.046	-0.07	4.862562E-26	-0.07	3.524388E-27	-0.07	2.410168E-28	-0.07	3.52305E-27	-0.07	4.860714E-26	-0.07	3.169607E-25	
0.048	-0.07	4.862543E-26	-0.07	3.524374E-27	-0.07	2.410168E-28	-0.07	3.523066E-27	-0.07	4.860736E-26	-0.07	3.169621E-25	
0.05	-0.07	4.862552E-26	-0.07	3.52438E-27	-0.07	2.410168E-28	-0.07	3.52306E-27	-0.07	4.860728E-26	-0.07	3.169616E-25	
0.052	-0.07	4.862548E-26	-0.07	3.524378E-27	-0.07	2.410169E-28	-0.07	3.523063E-27	-0.07	4.860733E-26	-0.07	3.169619E-25	
