Time	A1	A1Ia	A2	A2Ia	A3	A3Ia	A4	A4Ia	A5	A5Ia	A6	A6Ia	
0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	
0.002	-0.07	4.830528E-26	-0.07	3.501172E-27	-0.07	2.39601E-28	-0.07	3.504869E-27	-0.07	4.835634E-26	-0.07	3.153253E-25	
0.004	-0.07	4.885096E-26	-0.07	3.540744E-27	-0.07	2.43572E-28	-0.07	3.581409E-27	-0.07	4.941264E-26	-0.07	3.222132E-25	
0.006	-0.07	4.861941E-26	-0.07	3.523986E-27	-0.07	2.439745E-28	-0.07	3.609937E-27	-0.07	4.980658E-26	-0.07	3.247821E-25	
0.008	-0.07	4.839453E-26	-0.07	3.507709E-27	-0.07	2.442261E-28	-0.07	3.633572E-27	-0.07	5.013298E-26	-0.07	3.269105E-25	
0.01	-0.07	4.832871E-26	-0.07	3.502947E-27	-0.07	2.444574E-28	-0.07	3.645097E-27	-0.07	5.02921E-26	-0.07	3.279481E-25	
0.012	-0.07	4.813883E-26	-0.07	3.489194E-27	-0.07	2.440901E-28	-0.07	3.648111E-27	-0.07	5.033381E-26	-0.07	3.282201E-25	
0.014	-0.07	4.800366E-26	-0.07	3.479407E-27	-0.07	2.440795E-28	-0.07	3.657586E-27	-0.07	5.046469E-26	-0.07	3.290735E-25	
0.016	-0.07	4.790508E-26	-0.07	3.47227E-27	-0.07	2.440684E-28	-0.07	3.664399E-27	-0.07	5.05588E-26	-0.07	3.296872E-25	
0.018	-0.07	4.781891E-26	-0.07	3.466031E-27	-0.07	2.44064E-28	-0.07	3.67051E-27	-0.07	5.064321E-26	-0.07	3.302376E-25	
0.02	-0.07	4.774782E-26	-0.07	3.460885E-27	-0.07	2.440741E-28	-0.07	3.675951E-27	-0.07	5.071835E-26	-0.07	3.307276E-25	
0.022	-0.07	4.768662E-26	-0.07	3.456454E-27	-0.07	2.440843E-28	-0.07	3.68068E-27	-0.07	5.078366E-26	-0.07	3.311535E-25	
0.024	-0.07	4.763312E-26	-0.07	3.45258E-27	-0.07	2.440923E-28	-0.07	3.684789E-27	-0.07	5.084041E-26	-0.07	3.315236E-25	
0.026	-0.07	4.758763E-26	-0.07	3.449288E-27	-0.07	2.440997E-28	-0.07	3.688298E-27	-0.07	5.088888E-26	-0.07	3.318396E-25	
0.028	-0.07	4.754845E-26	-0.07	3.446451E-27	-0.07	2.441063E-28	-0.07	3.691327E-27	-0.07	5.093072E-26	-0.07	3.321125E-25	
0.03	-0.07	4.751452E-26	-0.07	3.443995E-27	-0.07	2.441119E-28	-0.07	3.693947E-27	-0.07	5.09669E-26	-0.07	3.323483E-25	
0.032	-0.07	4.74851E-26	-0.07	3.441864E-27	-0.07	2.441165E-28	-0.07	3.696213E-27	-0.07	5.099819E-26	-0.07	3.325524E-25	
0.034	-0.07	4.745957E-26	-0.07	3.440016E-27	-0.07	2.441204E-28	-0.07	3.698173E-27	-0.07	5.102527E-26	-0.07	3.32729E-25	
0.036	-0.07	4.743744E-26	-0.07	3.438414E-27	-0.07	2.441236E-28	-0.07	3.699867E-27	-0.07	5.104868E-26	-0.07	3.328817E-25	
0.038	-0.07	4.741828E-26	-0.07	3.437027E-27	-0.07	2.441262E-28	-0.07	3.701332E-27	-0.07	5.106891E-26	-0.07	3.330135E-25	
0.04	-0.07	4.740169E-26	-0.07	3.435826E-27	-0.07	2.441284E-28	-0.07	3.702597E-27	-0.07	5.108637E-26	-0.07	3.331275E-25	
0.042	-0.07	4.738736E-26	-0.07	3.434788E-27	-0.07	2.441302E-28	-0.07	3.703688E-27	-0.07	5.110144E-26	-0.07	3.332257E-25	
0.044	-0.07	4.737498E-26	-0.07	3.433891E-27	-0.07	2.441317E-28	-0.07	3.704628E-27	-0.07	5.111443E-26	-0.07	3.333104E-25	
0.046	-0.07	4.73643E-26	-0.07	3.433118E-27	-0.07	2.44133E-28	-0.07	3.705437E-27	-0.07	5.112561E-26	-0.07	3.333833E-25	
0.048	-0.07	4.73551E-26	-0.07	3.432452E-27	-0.07	2.44134E-28	-0.07	3.706134E-27	-0.07	5.113523E-26	-0.07	3.33446E-25	
0.05	-0.07	4.734717E-26	-0.07	3.431879E-27	-0.07	2.441348E-28	-0.07	3.706733E-27	-0.07	5.11435E-26	-0.07	3.335E-25	
0.052	-0.07	4.734036E-26	-0.07	3.431385E-27	-0.07	2.441356E-28	-0.07	3.707248E-27	-0.07	5.115061E-26	-0.07	3.335463E-25	
0.054	-0.07	4.73345E-26	-0.07	3.430961E-27	-0.07	2.441362E-28	-0.07	3.70769E-27	-0.07	5.115672E-26	-0.07	3.335862E-25	
0.056	-0.07	4.732946E-26	-0.07	3.430597E-27	-0.07	2.441367E-28	-0.07	3.708069E-27	-0.07	5.116196E-26	-0.07	3.336203E-25	
0.058	-0.07	4.732513E-26	-0.07	3.430283E-27	-0.07	2.441371E-28	-0.07	3.708395E-27	-0.07	5.116646E-26	-0.07	3.336497E-25	
0.06	-0.07	4.732143E-26	-0.07	3.430015E-27	-0.07	2.441375E-28	-0.07	3.708674E-27	-0.07	5.117031E-26	-0.07	3.336748E-25	
0.062	-0.07	4.731824E-26	-0.07	3.429784E-27	-0.07	2.441378E-28	-0.07	3.708914E-27	-0.07	5.117362E-26	-0.07	3.336963E-25	
0.064	-0.07	4.731551E-26	-0.07	3.429586E-27	-0.07	2.44138E-28	-0.07	3.709119E-27	-0.07	5.117645E-26	-0.07	3.337149E-25	
0.066	-0.07	4.731317E-26	-0.07	3.429416E-27	-0.07	2.441382E-28	-0.07	3.709295E-27	-0.07	5.117889E-26	-0.07	3.337307E-25	
0.068	-0.07	4.731116E-26	-0.07	3.429271E-27	-0.07	2.441384E-28	-0.07	3.709446E-27	-0.07	5.118097E-26	-0.07	3.337443E-25	
0.07	-0.07	4.730943E-26	-0.07	3.429146E-27	-0.07	2.441386E-28	-0.07	3.709575E-27	-0.07	5.118276E-26	-0.07	3.33756E-25	
0.072	-0.07	4.730795E-26	-0.07	3.429039E-27	-0.07	2.441387E-28	-0.07	3.709686E-27	-0.07	5.118428E-26	-0.07	3.337659E-25	
0.074	-0.07	4.730669E-26	-0.07	3.428948E-27	-0.07	2.441388E-28	-0.07	3.709781E-27	-0.07	5.11856E-26	-0.07	3.337745E-25	
