Time	A1	A1Ia	A2	A2Ia	A3	A3Ia	A4	A4Ia	A5	A5Ia	A6	A6Ia	
0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	
0.002	-0.07	2.833003E-22	-0.07	6.321308E-23	-0.07	7.026195E-25	-0.07	7.023784E-25	-0.07	6.319137E-23	-0.07	2.83203E-22	
0.004	-0.07	2.843532E-22	-0.07	6.344803E-23	-0.07	7.052308E-25	-0.07	7.047823E-25	-0.07	6.340762E-23	-0.07	2.841722E-22	
0.006	-0.07	2.843613E-22	-0.07	6.344982E-23	-0.07	7.052508E-25	-0.07	7.047821E-25	-0.07	6.340762E-23	-0.07	2.841721E-22	
0.008	-0.07	2.843575E-22	-0.07	6.344897E-23	-0.07	7.052414E-25	-0.07	7.047745E-25	-0.07	6.340693E-23	-0.07	2.841691E-22	
0.01	-0.07	2.843549E-22	-0.07	6.344839E-23	-0.07	7.052349E-25	-0.07	7.047696E-25	-0.07	6.340648E-23	-0.07	2.841671E-22	
0.012	-0.07	2.843535E-22	-0.07	6.344808E-23	-0.07	7.052314E-25	-0.07	7.047665E-25	-0.07	6.34062E-23	-0.07	2.841658E-22	
0.014	-0.07	2.843527E-22	-0.07	6.34479E-23	-0.07	7.052294E-25	-0.07	7.047646E-25	-0.07	6.340603E-23	-0.07	2.84165E-22	
0.016	-0.07	2.843521E-22	-0.07	6.344778E-23	-0.07	7.052281E-25	-0.07	7.047633E-25	-0.07	6.340591E-23	-0.07	2.841645E-22	
0.018	-0.07	2.843518E-22	-0.07	6.34477E-23	-0.07	7.052273E-25	-0.07	7.047624E-25	-0.07	6.340584E-23	-0.07	2.841642E-22	
0.02	-0.07	2.843516E-22	-0.07	6.344765E-23	-0.07	7.052267E-25	-0.07	7.047619E-25	-0.07	6.34058E-23	-0.07	2.84164E-22	
0.022	-0.07	2.843515E-22	-0.07	6.344763E-23	-0.07	7.052264E-25	-0.07	7.047616E-25	-0.07	6.340577E-23	-0.07	2.841638E-22	
0.024	-0.07	2.843514E-22	-0.07	6.34476E-23	-0.07	7.052261E-25	-0.07	7.047614E-25	-0.07	6.340575E-23	-0.07	2.841638E-22	
0.026	-0.07	2.843513E-22	-0.07	6.344759E-23	-0.07	7.05226E-25	-0.07	7.047613E-25	-0.07	6.340574E-23	-0.07	2.841637E-22	
0.028	-0.07	2.843513E-22	-0.07	6.344758E-23	-0.07	7.052259E-25	-0.07	7.047611E-25	-0.07	6.340573E-23	-0.07	2.841637E-22	
0.03	-0.07	2.843512E-22	-0.07	6.344758E-23	-0.07	7.052259E-25	-0.07	7.047611E-25	-0.07	6.340572E-23	-0.07	2.841637E-22	
0.032	-0.07	2.843512E-22	-0.07	6.344758E-23	-0.07	7.052259E-25	-0.07	7.04761E-25	-0.07	6.340572E-23	-0.07	2.841636E-22	
0.034	-0.07	2.843512E-22	-0.07	6.344758E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340572E-23	-0.07	2.841636E-22	
0.036	-0.07	2.843512E-22	-0.07	6.344758E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340572E-23	-0.07	2.841636E-22	
0.038	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.04	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052257E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.042	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.044	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.046	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.048	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052257E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.05	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.052	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.054	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340572E-23	-0.07	2.841636E-22	
0.056	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.058	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.06	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340572E-23	-0.07	2.841636E-22	
0.062	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.064	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.066	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.068	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.07	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.072	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.074	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.07600001	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.078	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.08000001	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.082	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.08400001	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.086	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.08800001	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.09	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.09200001	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.094	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.096	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.098	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.1	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.102	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.104	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.106	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.108	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.11	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.112	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.114	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.116	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.118	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.12	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.122	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.124	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.126	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.128	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.13	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.132	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.134	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.136	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.138	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.14	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
0.142	-0.07	2.843512E-22	-0.07	6.344757E-23	-0.07	7.052258E-25	-0.07	7.04761E-25	-0.07	6.340571E-23	-0.07	2.841636E-22	
