Time	A1	A1Ia	A2	A2Ia	A3	A3Ia	A4	A4Ia	A5	A5Ia	A6	A6Ia	
0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	
0.002	-0.07	5.369495E-41	-0.07	3.91666E-35	-0.07	1.422355E-30	-0.07	2.571688E-27	-0.07	2.314968E-25	-0.07	1.037493E-24	
0.004	-0.07	1.379506E-24	-0.07	3.078106E-25	-0.07	3.421359E-27	-0.07	3.445626E-27	-0.07	3.099963E-25	-0.07	1.389302E-24	
0.006	-0.07	1.384099E-24	-0.07	3.088354E-25	-0.07	3.432773E-27	-0.07	3.500844E-27	-0.07	3.149663E-25	-0.07	1.411575E-24	
0.008	-0.07	1.39682E-24	-0.07	3.116739E-25	-0.07	3.464311E-27	-0.07	3.510403E-27	-0.07	3.158252E-25	-0.07	1.415425E-24	
0.01	-0.07	1.40558E-24	-0.07	3.136284E-25	-0.07	3.486027E-27	-0.07	3.514738E-27	-0.07	3.162144E-25	-0.07	1.417169E-24	
0.012	-0.07	1.41118E-24	-0.07	3.148781E-25	-0.07	3.499911E-27	-0.07	3.517557E-27	-0.07	3.164674E-25	-0.07	1.418303E-24	
0.014	-0.07	1.414704E-24	-0.07	3.156644E-25	-0.07	3.508648E-27	-0.07	3.519573E-27	-0.07	3.166485E-25	-0.07	1.419115E-24	
0.016	-0.07	1.415566E-24	-0.07	3.158567E-25	-0.07	3.510785E-27	-0.07	3.524337E-27	-0.07	3.170772E-25	-0.07	1.421036E-24	
0.018	-0.07	1.417469E-24	-0.07	3.162813E-25	-0.07	3.515502E-27	-0.07	3.524177E-27	-0.07	3.170626E-25	-0.07	1.420971E-24	
0.02	-0.07	1.417809E-24	-0.07	3.163571E-25	-0.07	3.516342E-27	-0.07	3.520652E-27	-0.07	3.167453E-25	-0.07	1.419548E-24	
0.022	-0.07	1.419875E-24	-0.07	3.168182E-25	-0.07	3.521469E-27	-0.07	3.526768E-27	-0.07	3.172955E-25	-0.07	1.422015E-24	
0.024	-0.07	1.419255E-24	-0.07	3.166798E-25	-0.07	3.51993E-27	-0.07	3.525733E-27	-0.07	3.172024E-25	-0.07	1.421597E-24	
0.026	-0.07	1.419757E-24	-0.07	3.167917E-25	-0.07	3.521173E-27	-0.07	3.525217E-27	-0.07	3.171559E-25	-0.07	1.421389E-24	
0.028	-0.07	1.417043E-24	-0.07	3.161862E-25	-0.07	3.51445E-27	-0.07	3.531127E-27	-0.07	3.176882E-25	-0.07	1.423774E-24	
0.03	-0.07	1.420251E-24	-0.07	3.16902E-25	-0.07	3.522399E-27	-0.07	3.524421E-27	-0.07	3.170842E-25	-0.07	1.421067E-24	
